"","code","exclusion_criteria"
"1","008.5","008"
"2","008.51","008"
"3","008.52","008"
"4","008.6","008"
"5","008.7","008"
"6","008","008.5"
"7","008.51","008.5"
"8","008.52","008.5"
"9","008.6","008.5"
"10","008.7","008.5"
"11","008","008.7"
"12","008.5","008.7"
"13","008.51","008.7"
"14","008.52","008.7"
"15","008.6","008.7"
"16","008","008.51"
"17","008.5","008.51"
"18","008.52","008.51"
"19","008.6","008.51"
"20","008.7","008.51"
"21","008","008.52"
"22","008.5","008.52"
"23","008.51","008.52"
"24","008.6","008.52"
"25","008.7","008.52"
"26","008","008.6"
"27","008.5","008.6"
"28","008.51","008.6"
"29","008.52","008.6"
"30","008.7","008.6"
"31","010","038.1"
"32","031","038.1"
"33","031.1","038.1"
"34","038","038.1"
"35","038.2","038.1"
"36","038.3","038.1"
"37","041","038.1"
"38","041.1","038.1"
"39","041.11","038.1"
"40","041.12","038.1"
"41","041.2","038.1"
"42","041.21","038.1"
"43","041.4","038.1"
"44","041.8","038.1"
"45","041.9","038.1"
"46","010","038"
"47","031","038"
"48","031.1","038"
"49","038.1","038"
"50","038.2","038"
"51","038.3","038"
"52","041","038"
"53","041.1","038"
"54","041.11","038"
"55","041.12","038"
"56","041.2","038"
"57","041.21","038"
"58","041.4","038"
"59","041.8","038"
"60","041.9","038"
"61","031","010"
"62","031.1","010"
"63","038","010"
"64","038.1","010"
"65","038.2","010"
"66","038.3","010"
"67","041","010"
"68","041.1","010"
"69","041.11","010"
"70","041.12","010"
"71","041.2","010"
"72","041.21","010"
"73","041.4","010"
"74","041.8","010"
"75","041.9","010"
"76","010","041"
"77","031","041"
"78","031.1","041"
"79","038","041"
"80","038.1","041"
"81","038.2","041"
"82","038.3","041"
"83","041.1","041"
"84","041.11","041"
"85","041.12","041"
"86","041.2","041"
"87","041.21","041"
"88","041.4","041"
"89","041.8","041"
"90","041.9","041"
"91","010","038.2"
"92","031","038.2"
"93","031.1","038.2"
"94","038","038.2"
"95","038.1","038.2"
"96","038.3","038.2"
"97","041","038.2"
"98","041.1","038.2"
"99","041.11","038.2"
"100","041.12","038.2"
"101","041.2","038.2"
"102","041.21","038.2"
"103","041.4","038.2"
"104","041.8","038.2"
"105","041.9","038.2"
"106","010","031.1"
"107","031","031.1"
"108","038","031.1"
"109","038.1","031.1"
"110","038.2","031.1"
"111","038.3","031.1"
"112","041","031.1"
"113","041.1","031.1"
"114","041.11","031.1"
"115","041.12","031.1"
"116","041.2","031.1"
"117","041.21","031.1"
"118","041.4","031.1"
"119","041.8","031.1"
"120","041.9","031.1"
"121","010","031"
"122","031.1","031"
"123","038","031"
"124","038.1","031"
"125","038.2","031"
"126","038.3","031"
"127","041","031"
"128","041.1","031"
"129","041.11","031"
"130","041.12","031"
"131","041.2","031"
"132","041.21","031"
"133","041.4","031"
"134","041.8","031"
"135","041.9","031"
"136","010","041.2"
"137","031","041.2"
"138","031.1","041.2"
"139","038","041.2"
"140","038.1","041.2"
"141","038.2","041.2"
"142","038.3","041.2"
"143","041","041.2"
"144","041.1","041.2"
"145","041.11","041.2"
"146","041.12","041.2"
"147","041.21","041.2"
"148","041.4","041.2"
"149","041.8","041.2"
"150","041.9","041.2"
"151","010","041.1"
"152","031","041.1"
"153","031.1","041.1"
"154","038","041.1"
"155","038.1","041.1"
"156","038.2","041.1"
"157","038.3","041.1"
"158","041","041.1"
"159","041.11","041.1"
"160","041.12","041.1"
"161","041.2","041.1"
"162","041.21","041.1"
"163","041.4","041.1"
"164","041.8","041.1"
"165","041.9","041.1"
"166","010","041.11"
"167","031","041.11"
"168","031.1","041.11"
"169","038","041.11"
"170","038.1","041.11"
"171","038.2","041.11"
"172","038.3","041.11"
"173","041","041.11"
"174","041.1","041.11"
"175","041.12","041.11"
"176","041.2","041.11"
"177","041.21","041.11"
"178","041.4","041.11"
"179","041.8","041.11"
"180","041.9","041.11"
"181","010","041.12"
"182","031","041.12"
"183","031.1","041.12"
"184","038","041.12"
"185","038.1","041.12"
"186","038.2","041.12"
"187","038.3","041.12"
"188","041","041.12"
"189","041.1","041.12"
"190","041.11","041.12"
"191","041.2","041.12"
"192","041.21","041.12"
"193","041.4","041.12"
"194","041.8","041.12"
"195","041.9","041.12"
"196","010","041.4"
"197","031","041.4"
"198","031.1","041.4"
"199","038","041.4"
"200","038.1","041.4"
"201","038.2","041.4"
"202","038.3","041.4"
