"","vocabulary_id","code","phecode"
"1","ICD9CM","001","008"
"2","ICD9CM","001.0","008"
"3","ICD9CM","001.1","008"
"4","ICD9CM","001.9","008"
"5","ICD9CM","002","008"
"6","ICD9CM","002.0","008.5"
"7","ICD9CM","002.1","008"
"8","ICD9CM","002.2","008"
"9","ICD9CM","002.3","008"
"10","ICD9CM","002.9","008"
"11","ICD9CM","003","008.5"
"12","ICD9CM","003.0","008.5"
"13","ICD9CM","003.1","038.1"
"14","ICD9CM","003.2","008.5"
"15","ICD9CM","003.20","008.5"
"16","ICD9CM","003.21","320"
"17","ICD9CM","003.22","480.1"
"18","ICD9CM","003.23","711"
"19","ICD9CM","003.24","710.1"
"20","ICD9CM","003.29","008.5"
"21","ICD9CM","003.8","008.5"
"22","ICD9CM","003.9","008.5"
"23","ICD9CM","004","008.5"
"24","ICD9CM","004.0","008.5"
"25","ICD9CM","004.1","008.5"
"26","ICD9CM","004.2","008.5"
"27","ICD9CM","004.3","008.5"
"28","ICD9CM","004.8","008.5"
"29","ICD9CM","004.9","008.5"
"30","ICD9CM","005","008.5"
"31","ICD9CM","005.0","008.5"
"32","ICD9CM","005.1","008.5"
"33","ICD9CM","005.2","008.5"
"34","ICD9CM","005.3","008.5"
"35","ICD9CM","005.4","008.5"
"36","ICD9CM","005.8","008.5"
"37","ICD9CM","005.81","008.5"
"38","ICD9CM","005.89","008.5"
"39","ICD9CM","005.9","008"
"40","ICD9CM","006","008"
"41","ICD9CM","006.0","008"
"42","ICD9CM","006.1","008.7"
"43","ICD9CM","006.2","008"
"44","ICD9CM","006.3","008"
"45","ICD9CM","006.4","008"
"46","ICD9CM","006.5","008"
"47","ICD9CM","006.6","008"
"48","ICD9CM","006.8","008"
"49","ICD9CM","006.9","008"
"50","ICD9CM","007","008"
"51","ICD9CM","007.0","008.7"
"52","ICD9CM","007.1","008.7"
"53","ICD9CM","007.2","008"
"54","ICD9CM","007.3","008"
"55","ICD9CM","007.4","008.7"
"56","ICD9CM","007.5","008"
"57","ICD9CM","007.8","008.7"
"58","ICD9CM","007.9","008"
"59","ICD9CM","008","008"
"60","ICD9CM","008.0","008.51"
"61","ICD9CM","008.00","008.51"
"62","ICD9CM","008.01","008.51"
"63","ICD9CM","008.02","008.51"
"64","ICD9CM","008.03","008.51"
"65","ICD9CM","008.04","008.51"
"66","ICD9CM","008.09","008.51"
"67","ICD9CM","008.1","008.5"
"68","ICD9CM","008.2","008.5"
"69","ICD9CM","008.3","008.5"
"70","ICD9CM","008.4","008.5"
"71","ICD9CM","008.41","008.5"
"72","ICD9CM","008.42","008.5"
"73","ICD9CM","008.43","008.5"
"74","ICD9CM","008.44","008.5"
"75","ICD9CM","008.45","008.52"
"76","ICD9CM","008.46","008.5"
"77","ICD9CM","008.47","008.5"
"78","ICD9CM","008.49","008.5"
"79","ICD9CM","008.5","008.5"
"80","ICD9CM","008.6","008.6"
"81","ICD9CM","008.61","008.6"
"82","ICD9CM","008.62","008.6"
"83","ICD9CM","008.63","008.6"
"84","ICD9CM","008.64","008.6"
"85","ICD9CM","008.65","008.6"
"86","ICD9CM","008.66","008.6"
"87","ICD9CM","008.67","008.6"
"88","ICD9CM","008.69","008.6"
"89","ICD9CM","008.8","008.6"
"90","ICD9CM","009","008"
"91","ICD9CM","009.0","008"
"92","ICD9CM","009.1","008"
"93","ICD9CM","009.2","008"
"94","ICD9CM","009.3","008"
"95","ICD9CM","010","010"
"96","ICD9CM","010.0","010"
"97","ICD9CM","010.00","010"
"98","ICD9CM","010.01","010"
"99","ICD9CM","010.02","010"
"100","ICD9CM","010.03","010"
"101","ICD9CM","010.04","010"
"102","ICD9CM","010.05","010"
"103","ICD9CM","010.06","010"
"104","ICD9CM","010.1","010"
"105","ICD9CM","010.10","010"
"106","ICD9CM","010.11","010"
"107","ICD9CM","010.12","010"
