"","code","phecode_unrolled"
"1","008","008"
"2","008.5","008.5"
"3","008.51","008.51"
"4","008.52","008.52"
"5","008.6","008.6"
"6","008.7","008.7"
"7","010","010"
"8","031","031"
"9","031.1","031.1"
"10","038","038"
"11","038.1","038.1"
"12","038.2","038.2"
"13","038.3","038.3"
"14","041","041"
"15","041.1","041.1"
"16","041.11","041.11"
"17","041.12","041.12"
"18","041.2","041.2"
"19","041.21","041.21"
"20","041.4","041.4"
"21","041.8","041.8"
"22","041.9","041.9"
"23","053","053"
"24","053.1","053.1"
"25","054","054"
"26","070","070"
"27","070.1","070.1"
"28","070.2","070.2"
"29","070.3","070.3"
"30","070.4","070.4"
"31","070.9","070.9"
"32","071","071"
"33","071.1","071.1"
"34","078","078"
"35","079","079"
"36","079.1","079.1"
"37","079.2","079.2"
"38","079.9","079.9"
"39","080","080"
"40","081","081"
"41","081.1","081.1"
"42","081.11","081.11"
"43","081.12","081.12"
"44","090","090"
"45","090.2","090.2"
"46","090.3","090.3"
"47","1000","1000"
"48","1001","1001"
"49","1002","1002"
"50","1003","1003"
"51","1004","1004"
"52","1005","1005"
"53","1006","1006"
"54","1007","1007"
"55","1008","1008"
"56","1009","1009"
"57","1010","1010"
"58","1011","1011"
"59","1012","1012"
"60","1013","1013"
"61","1014","1014"
"62","1015","1015"
"63","1019","1019"
"64","110","110"
"65","110.1","110.1"
"66","110.11","110.11"
"67","110.12","110.12"
"68","110.13","110.13"
"69","110.2","110.2"
"70","1100","1100"
"71","112","112"
"72","112.3","112.3"
"73","117","117"
"74","117.1","117.1"
"75","117.2","117.2"
"76","117.3","117.3"
"77","117.4","117.4"
"78","130","130"
"79","130.1","130.1"
"80","131","131"
"81","132","132"
"82","132.1","132.1"
"83","133","133"
"84","134","134"
"85","134.1","134.1"
"86","136","136"
"87","145","145"
"88","145.1","145.1"
"89","145.2","145.2"
"90","145.3","145.3"
"91","145.4","145.4"
"92","145.5","145.5"
"93","149","149"
"94","149.1","149.1"
"95","149.2","149.2"
"96","149.3","149.3"
"97","149.4","149.4"
"98","149.5","149.5"
"99","149.9","149.9"
"100","150","150"
"101","151","151"
"102","153","153"
"103","153.2","153.2"
"104","153.3","153.3"
"105","155","155"
"106","155.1","155.1"
"107","157","157"
"108","158","158"
"109","159","159"
"110","159.2","159.2"
"111","159.3","159.3"
"112","159.4","159.4"
"113","164","164"
"114","165","165"
"115","165.1","165.1"
"116","170","170"
"117","170.1","170.1"
"118","170.2","170.2"
"119","172","172"
"120","172.1","172.1"
"121","172.11","172.11"
"122","172.2","172.2"
"123","172.21","172.21"
"124","172.22","172.22"
"125","172.3","172.3"
"126","173","173"
"127","174","174"
"128","174.1","174.1"
"129","174.11","174.11"
"130","174.2","174.2"
"131","174.3","174.3"
"132","175","175"
"133","180","180"
"134","180.1","180.1"
"135","180.3","180.3"
"136","182","182"
"137","184","184"
"138","184.1","184.1"
"139","184.11","184.11"
"140","184.2","184.2"
"141","185","185"
"142","187","187"
"143","187.1","187.1"
"144","187.2","187.2"
