phecode,male_only,female_only
008,FALSE,FALSE
008.5,FALSE,FALSE
008.51,FALSE,FALSE
008.52,FALSE,FALSE
008.6,FALSE,FALSE
008.7,FALSE,FALSE
010,FALSE,FALSE
031,FALSE,FALSE
031.1,FALSE,FALSE
038,FALSE,FALSE
038.1,FALSE,FALSE
038.2,FALSE,FALSE
038.3,FALSE,FALSE
041,FALSE,FALSE
041.1,FALSE,FALSE
041.11,FALSE,FALSE
041.12,FALSE,FALSE
041.2,FALSE,FALSE
041.21,FALSE,FALSE
041.4,FALSE,FALSE
041.8,FALSE,FALSE
041.9,FALSE,FALSE
053,FALSE,FALSE
053.1,FALSE,FALSE
054,FALSE,FALSE
070,FALSE,FALSE
070.1,FALSE,FALSE
070.2,FALSE,FALSE
070.3,FALSE,FALSE
070.4,FALSE,FALSE
070.9,FALSE,FALSE
071,FALSE,FALSE
071.1,FALSE,FALSE
078,FALSE,FALSE
079,FALSE,FALSE
079.1,FALSE,FALSE
079.2,FALSE,FALSE
079.9,FALSE,FALSE
080,FALSE,FALSE
081,FALSE,FALSE
081.1,FALSE,FALSE
081.11,FALSE,FALSE
081.12,FALSE,FALSE
090,FALSE,FALSE
090.2,FALSE,FALSE
090.3,FALSE,FALSE
110,FALSE,FALSE
110.1,FALSE,FALSE
110.11,FALSE,FALSE
110.12,FALSE,FALSE
110.13,FALSE,FALSE
110.2,FALSE,FALSE
112,FALSE,FALSE
112.3,FALSE,FALSE
117,FALSE,FALSE
117.1,FALSE,FALSE
117.2,FALSE,FALSE
117.3,FALSE,FALSE
117.4,FALSE,FALSE
130,FALSE,FALSE
130.1,FALSE,FALSE
131,FALSE,FALSE
132,FALSE,FALSE
132.1,FALSE,FALSE
133,FALSE,FALSE
134,FALSE,FALSE
134.1,FALSE,FALSE
136,FALSE,FALSE
145,FALSE,FALSE
145.1,FALSE,FALSE
145.2,FALSE,FALSE
145.3,FALSE,FALSE
145.4,FALSE,FALSE
145.5,FALSE,FALSE
149,FALSE,FALSE
149.1,FALSE,FALSE
149.2,FALSE,FALSE
149.3,FALSE,FALSE
149.4,FALSE,FALSE
149.5,FALSE,FALSE
149.9,FALSE,FALSE
150,FALSE,FALSE
151,FALSE,FALSE
153,FALSE,FALSE
153.2,FALSE,FALSE
153.3,FALSE,FALSE
155,FALSE,FALSE
155.1,FALSE,FALSE
157,FALSE,FALSE
158,FALSE,FALSE
159,FALSE,FALSE
159.2,FALSE,FALSE
159.3,FALSE,FALSE
159.4,FALSE,FALSE
164,FALSE,FALSE
165,FALSE,FALSE
165.1,FALSE,FALSE
170,FALSE,FALSE
170.1,FALSE,FALSE
170.2,FALSE,FALSE
172,FALSE,FALSE
172.1,FALSE,FALSE
172.11,FALSE,FALSE
172.2,FALSE,FALSE
172.21,FALSE,FALSE
172.22,FALSE,FALSE
172.3,FALSE,FALSE
173,FALSE,FALSE
174,FALSE,FALSE
174.1,FALSE,TRUE
174.11,FALSE,TRUE
174.2,TRUE,FALSE
174.3,FALSE,FALSE
175,FALSE,TRUE
180,FALSE,TRUE
180.1,FALSE,TRUE
180.3,FALSE,TRUE
182,FALSE,TRUE
184,FALSE,TRUE
184.1,FALSE,TRUE
184.11,FALSE,TRUE
184.2,FALSE,TRUE
185,TRUE,FALSE
187,TRUE,FALSE
187.1,TRUE,FALSE
187.2,TRUE,FALSE
187.8,TRUE,FALSE
189,FALSE,FALSE
189.1,FALSE,FALSE
189.11,FALSE,FALSE
189.12,FALSE,FALSE
189.2,FALSE,FALSE
189.21,FALSE,FALSE
189.4,FALSE,FALSE
190,FALSE,FALSE
191,FALSE,FALSE
191.1,FALSE,FALSE
191.11,FALSE,FALSE
193,FALSE,FALSE
194,FALSE,FALSE
195,FALSE,FALSE
195.1,FALSE,FALSE
195.3,FALSE,FALSE
196,FALSE,FALSE
197,FALSE,FALSE
198,FALSE,FALSE
198.1,FALSE,FALSE
198.2,FALSE,FALSE
198.3,FALSE,FALSE
198.4,FALSE,FALSE
198.5,FALSE,FALSE
198.6,FALSE,FALSE
198.7,FALSE,FALSE
199,FALSE,FALSE
199.4,FALSE,FALSE
200,FALSE,FALSE
200.1,FALSE,FALSE
201,FALSE,FALSE
202,FALSE,FALSE
202.2,FALSE,FALSE
202.21,FALSE,FALSE
202.22,FALSE,FALSE
202.23,FALSE,FALSE
202.24,FALSE,FALSE
204,FALSE,FALSE
204.1,FALSE,FALSE
204.11,FALSE,FALSE
204.12,FALSE,FALSE
204.2,FALSE,FALSE
204.21,FALSE,FALSE
204.22,FALSE,FALSE
204.3,FALSE,FALSE
204.4,FALSE,FALSE
208,FALSE,FALSE
209,FALSE,FALSE
210,FALSE,FALSE
211,FALSE,FALSE
212,FALSE,FALSE
213,FALSE,FALSE
214,FALSE,FALSE
214.1,FALSE,FALSE
215,FALSE,FALSE
216,FALSE,FALSE
216.1,FALSE,FALSE
217,FALSE,FALSE
217.1,FALSE,FALSE
218,FALSE,TRUE
218.1,FALSE,TRUE
218.2,FALSE,TRUE
220,FALSE,TRUE
221,FALSE,TRUE
222,TRUE,FALSE
223,FALSE,FALSE
224,FALSE,FALSE
224.1,FALSE,FALSE
225,FALSE,FALSE
225.1,FALSE,FALSE
225.2,FALSE,FALSE
226,FALSE,FALSE
227,FALSE,FALSE
227.1,FALSE,FALSE
227.2,FALSE,FALSE
227.3,FALSE,FALSE
228,FALSE,FALSE
228.1,FALSE,FALSE
229,FALSE,FALSE
229.1,FALSE,FALSE
230,FALSE,FALSE
240,FALSE,FALSE
241,FALSE,FALSE
241.1,FALSE,FALSE
241.2,FALSE,FALSE
242,FALSE,FALSE
242.1,FALSE,FALSE
242.2,FALSE,FALSE
242.3,FALSE,FALSE
242.31,FALSE,FALSE
244,FALSE,FALSE
244.1,FALSE,FALSE
244.2,FALSE,FALSE
244.3,FALSE,FALSE
244.4,FALSE,FALSE
244.5,FALSE,FALSE
245,FALSE,FALSE
245.1,FALSE,FALSE
245.2,FALSE,FALSE
245.21,FALSE,FALSE
246,FALSE,FALSE
246.2,FALSE,FALSE
246.7,FALSE,FALSE
249,FALSE,FALSE
250,FALSE,FALSE
250.1,FALSE,FALSE
250.11,FALSE,FALSE
250.12,FALSE,FALSE
250.13,FALSE,FALSE
250.14,FALSE,FALSE
250.15,FALSE,FALSE
250.2,FALSE,FALSE
250.21,FALSE,FALSE
250.22,FALSE,FALSE
250.23,FALSE,FALSE
250.24,FALSE,FALSE
250.25,FALSE,FALSE
250.3,FALSE,FALSE
250.4,FALSE,FALSE
250.41,FALSE,FALSE
250.42,FALSE,FALSE
250.5,FALSE,FALSE
250.6,FALSE,FALSE
250.7,FALSE,FALSE
251,FALSE,FALSE
251.1,FALSE,FALSE
251.8,FALSE,FALSE
252,FALSE,FALSE
252.1,FALSE,FALSE
252.2,FALSE,FALSE
253,FALSE,FALSE
253.1,FALSE,FALSE
253.11,FALSE,FALSE
253.2,FALSE,FALSE
253.3,FALSE,FALSE
253.4,FALSE,FALSE
253.5,FALSE,FALSE
253.7,FALSE,FALSE
254,FALSE,FALSE
255,FALSE,FALSE
255.1,FALSE,FALSE
255.11,FALSE,FALSE
255.12,FALSE,FALSE
255.13,FALSE,FALSE
255.2,FALSE,FALSE
255.21,FALSE,FALSE
255.22,FALSE,FALSE
255.3,FALSE,FALSE
256,FALSE,TRUE
256.1,FALSE,FALSE
256.4,FALSE,TRUE
257,TRUE,FALSE
257.1,TRUE,FALSE
258,FALSE,FALSE
258.1,FALSE,TRUE
259,FALSE,FALSE
259.1,FALSE,FALSE
259.2,FALSE,FALSE
259.3,FALSE,FALSE
259.4,FALSE,FALSE
259.8,FALSE,FALSE
260,FALSE,FALSE
260.1,FALSE,FALSE
260.2,FALSE,FALSE
260.21,FALSE,FALSE
260.22,FALSE,FALSE
260.3,FALSE,FALSE
260.6,FALSE,FALSE
260.7,FALSE,FALSE
261,FALSE,FALSE
261.1,FALSE,FALSE
261.2,FALSE,FALSE
261.3,FALSE,FALSE
261.4,FALSE,FALSE
261.41,FALSE,FALSE
262,FALSE,FALSE
263,FALSE,FALSE
264,FALSE,FALSE
264.1,FALSE,FALSE
264.2,FALSE,FALSE
264.3,FALSE,FALSE
264.9,FALSE,FALSE
269,FALSE,FALSE
270,FALSE,FALSE
270.1,FALSE,FALSE
270.11,FALSE,FALSE
270.12,FALSE,FALSE
270.2,FALSE,FALSE
270.21,FALSE,FALSE
270.3,FALSE,FALSE
270.31,FALSE,FALSE
270.32,FALSE,FALSE
270.33,FALSE,FALSE
270.34,FALSE,FALSE
270.35,FALSE,FALSE
270.38,FALSE,FALSE
271,FALSE,FALSE
271.3,FALSE,FALSE
271.9,FALSE,FALSE
272,FALSE,FALSE
272.1,FALSE,FALSE
272.11,FALSE,FALSE
272.12,FALSE,FALSE
272.13,FALSE,FALSE
272.14,FALSE,FALSE
272.9,FALSE,FALSE
274,FALSE,FALSE
274.1,FALSE,FALSE
274.11,FALSE,FALSE
274.2,FALSE,FALSE
274.21,FALSE,FALSE
275,FALSE,FALSE
275.1,FALSE,FALSE
275.11,FALSE,FALSE
275.2,FALSE,FALSE
275.3,FALSE,FALSE
275.5,FALSE,FALSE
275.51,FALSE,FALSE
275.53,FALSE,FALSE
275.6,FALSE,FALSE
276,FALSE,FALSE
276.1,FALSE,FALSE
276.11,FALSE,FALSE
276.12,FALSE,FALSE
276.13,FALSE,FALSE
276.14,FALSE,FALSE
276.4,FALSE,FALSE
276.41,FALSE,FALSE
276.42,FALSE,FALSE
276.5,FALSE,FALSE
276.6,FALSE,FALSE
276.8,FALSE,FALSE
277,FALSE,FALSE
277.1,FALSE,FALSE
277.2,FALSE,FALSE
277.4,FALSE,FALSE
277.5,FALSE,FALSE
277.51,FALSE,FALSE
277.6,FALSE,FALSE
277.7,FALSE,FALSE
277.8,FALSE,FALSE
278,FALSE,FALSE
278.1,FALSE,FALSE
278.11,FALSE,FALSE
278.3,FALSE,FALSE
278.4,FALSE,FALSE
279,FALSE,FALSE
279.1,FALSE,FALSE
279.11,FALSE,FALSE
279.2,FALSE,FALSE
279.7,FALSE,FALSE
279.8,FALSE,FALSE
280,FALSE,FALSE
280.1,FALSE,FALSE
280.2,FALSE,FALSE
281,FALSE,FALSE
281.1,FALSE,FALSE
281.11,FALSE,FALSE
